Code,Level,Description,ISIC code
46301,5,Wholesale of fruits and vegetables (including fresh and frozen),4630
46302,5,"Wholesale of livestock, meat, poultry, eggs and seafood (including fresh and frozen)",4630
46303,5,"Wholesale of a general line (wide range) of groceries (e.g. cereals, sugar, edible oils, sauces and dairy products)",4630
46304,5,Wholesale of confectionery and bakery products,4630
46305,5,Wholesale of ice-cream,4630
46306,5,Wholesale of health supplements,4630
46307,5,"Wholesale of liquor, soft drinks and beverages",4630
46308,5,Wholesale of tobacco products,4630
46309,5,"Wholesale of food, beverages and tobacco n.e.c. (including dried or canned)",4630
46411,5,Wholesale of textiles and leathers,4620
46411,5,Wholesale of textiles and leathers,4641
46411,5,Wholesale of textiles and leathers,4669
46412,5,Wholesale of adults' clothing,4641
46413,5,Wholesale of children and infants’ clothing (including products and accessories for infants),4641
46414,5,Wholesale of footwear,4641
46415,5,"Wholesale of bags, luggage and travel accessories",4649
46416,5,"Wholesale of sewing and clothing accessories (e.g. button, thread, lace, zip, belt, tie)",4649
46421,5,Wholesale of jewellery made from precious metals and stones,4649
46422,5,Wholesale of costume jewellery,4649
46423,5,Wholesale of watches and clocks,4649
46424,5,Wholesale of cosmetics and toiletries,4649
46429,5,Wholesale of personal effects n.e.c.,4649
46431,5,"Wholesale of furniture (including mattresses, cushions)",4649
46432,5,"Wholesale of furnishings (including curtains, carpets, wallpaper)",4649
46433,5,Wholesale of lighting and lighting accessories,4649
46434,5,"Wholesale of crockery, cutlery and kitchen utensils",4649
46435,5,Wholesale of household electrical appliances and equipment (including household air-conditioners),4649
46436,5,"Wholesale of audio and video equipment except electrical and electronic components (e.g. radio and television sets, sound reproducing and recording equipment)",4649
46437,5,Wholesale of musical instruments and scores,4649
46439,5,"Wholesale of furniture, home furnishings and other household equipment n.e.c.",4649
46441,5,Wholesale of sporting goods and equipment (including bicycles and healthcare equipment),4649
46442,5,"Wholesale of music and video recordings (e.g. DVDs, Blu-ray discs)",4649
46443,5,Wholesale of toys and games,4649
46444,5,Wholesale of computer games (including electronic games and video game consoles),4649
46449,5,Wholesale of sporting and other recreational goods n.e.c.,4649
46451,5,Wholesale of antiques and works of art,4649
46452,5,Wholesale of handicrafts and gifts,4649
46453,5,Wholesale of artificial flowers and plants,4649
46459,5,Wholesale of handicrafts and fancy goods n.e.c.,4649
46461,5,Wholesale of medicinal and pharmaceutical products (Western),4649
46462,5,Wholesale of medicine and herbs (other than Western),4649
